n,group_indices,differing_invariants,min_quic_l1_separation
14,"[79, 458]","['aut_order']",3.908104e-07
14,"[201, 203]","['wiener', 'aut_order']",1.691932e-05
14,"[234, 239]","['aut_order']",5.868104e-08
16,"[1, 5]","['wiener', 'aut_order']",1.679748e-05
16,"[24, 35]","['aut_order']",6.483969e-08
16,"[82, 885]","['wiener', 'aut_order']",2.660123e-07
16,"[83, 884]","['wiener', 'aut_order']",2.659829e-07
16,"[106, 632]","['radius', 'wiener', 'aut_order']",1.676722e-05
16,"[259, 268]","[]",1.048264e-07
16,"[282, 1494]","['wiener', 'aut_order']",3.403155e-08
16,"[320, 3059]","[]",2.784990e-07
16,"[457, 516]","['radius', 'wiener']",1.069877e-06
16,"[476, 3741]","[]",9.674022e-08
16,"[479, 967]","[]",4.104236e-08
16,"[494, 568]","['wiener']",1.066003e-06
16,"[582, 3061, 3800]","['wiener']",4.861516e-08
16,"[583, 3067]","['wiener']",3.834275e-07
16,"[586, 1502]","['radius', 'wiener', 'aut_order']",1.161439e-06
16,"[594, 601]","[]",1.917133e-08
16,"[710, 711]","['wiener', 'aut_order']",1.678063e-05
16,"[817, 1130]","[]",7.788299e-07
16,"[936, 940]","['radius', 'aut_order']",1.677110e-05
16,"[1034, 1116]","[]",7.595582e-07
16,"[1035, 1123]","['aut_order']",7.648033e-07
16,"[1075, 1086]","['wiener']",3.890691e-07
16,"[1181, 3517]","[]",8.987844e-08
16,"[1371, 1792]","['wiener']",5.364448e-08
16,"[1496, 1570]","['wiener', 'aut_order']",2.677728e-07
16,"[1505, 1506]","['wiener']",2.613642e-07
16,"[1710, 1734]","['wiener']",1.153242e-06
16,"[1898, 3951]","['wiener']",1.266774e-06
16,"[2121, 3077]","['wiener']",1.045055e-06
16,"[2209, 2226]","['wiener']",2.646594e-07
16,"[2276, 3578]","['wiener']",1.257999e-06
16,"[2428, 2431]","[]",2.719185e-08
16,"[2693, 3900]","['aut_order']",5.091893e-08
16,"[3047, 3520]","['wiener', 'aut_order']",7.069247e-07
16,"[3058, 3799]","[]",1.081102e-06
16,"[3090, 3525]","['wiener']",1.357103e-06
16,"[3162, 3248]","[]",2.640785e-07
16,"[3514, 3515]","['wiener']",6.723423e-07
16,"[3602, 4005]","[]",9.453706e-08
16,"[3672, 3689]","['wiener', 'aut_order']",2.237595e-07
16,"[3693, 3902]","['wiener']",2.017076e-07
